name,name_alphabet,code,yomigana,prefecture_id
札幌市中央区,chuoku,11011,ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ,1
札幌市北区,kitaku,11029,ｻｯﾎﾟﾛｼｷﾀｸ,1
札幌市東区,higashiku,11037,ｻｯﾎﾟﾛｼﾋｶﾞｼｸ,1
札幌市白石区,shiroishiku,11045,ｻｯﾎﾟﾛｼｼﾛｲｼｸ,1
札幌市豊平区,toyohiraku,11053,ｻｯﾎﾟﾛｼﾄﾖﾋﾗｸ,1
札幌市南区,minamiku,11061,ｻｯﾎﾟﾛｼﾐﾅﾐｸ,1
札幌市西区,nishiku,11070,ｻｯﾎﾟﾛｼﾆｼｸ,1
札幌市厚別区,atsubetsu,11088,ｻｯﾎﾟﾛｼｱﾂﾍﾞﾂｸ,1
札幌市手稲区,teineku,11096,ｻｯﾎﾟﾛｼﾃｲﾈｸ,1
札幌市清田区,kiyotaku,11100,ｻｯﾎﾟﾛｼｷﾖﾀｸ,1
函館市,hakodate,12025,ﾊｺﾀﾞﾃｼ,1
小樽市,otaru,12033,ｵﾀﾙｼ,1
旭川市,asahikawa,12041,ｱｻﾋｶﾜｼ,1
室蘭市,muroran,12050,ﾑﾛﾗﾝｼ,1
釧路市,kushiro_1,12068,ｸｼﾛｼ,1
帯広市,obihiro,12076,ｵﾋﾞﾋﾛｼ,1
北見市,kitami,12084,ｷﾀﾐｼ,1
夕張市,yubari,12092,ﾕｳﾊﾞﾘｼ,1
岩見沢市,iwamizawa,12106,ｲﾜﾐｻﾞﾜｼ,1
網走市,abashiri,12114,ｱﾊﾞｼﾘｼ,1
留萌市,rumoi,12122,ﾙﾓｲｼ,1
苫小牧市,tomakomai,12131,ﾄﾏｺﾏｲｼ,1
稚内市,wakkanai,12149,ﾜｯｶﾅｲｼ,1
美唄市,bibai,12157,ﾋﾞﾊﾞｲｼ,1
芦別市,ashibetsu,12165,ｱｼﾍﾞﾂｼ,1
江別市,ebetsu,12173,ｴﾍﾞﾂｼ,1
赤平市,akahira,12181,ｱｶﾋﾞﾗｼ,1
紋別市,monbetsu,12190,ﾓﾝﾍﾞﾂｼ,1
士別市,sibetsu,12203,ｼﾍﾞﾂｼ,1
名寄市,nayoro,12211,ﾅﾖﾛｼ,1
三笠市,mikasa,12220,ﾐｶｻｼ,1
根室市,nemuro,12238,ﾈﾑﾛｼ,1
千歳市,chitose,12246,ﾁﾄｾｼ,1
滝川市,takikawa,12254,ﾀｷｶﾜｼ,1
砂川市,sunagawa,12262,ｽﾅｶﾞﾜｼ,1
歌志内市,utashinai,12271,ｳﾀｼﾅｲｼ,1
深川市,fukagawa,12289,ﾌｶｶﾞﾜｼ,1
富良野市,furano,12297,ﾌﾗﾉｼ,1
登別市,noboribetsu,12301,ﾉﾎﾞﾘﾍﾞﾂｼ,1
恵庭市,eniwa,12319,ｴﾆﾜｼ,1
伊達市,date,12335,ﾀﾞﾃｼ,1
北広島市,kitahiroshima,12343,ｷﾀﾋﾛｼﾏｼ,1
石狩市,ishikari,12351,ｲｼｶﾘｼ,1
北斗市,hokuto,12360,ﾎｸﾄｼ,1
当別町,toubetsu,13030,ﾄｳﾍﾞﾂﾁｮｳ,1
新篠津村,shinshinotsu,13048,ｼﾝｼﾉﾂﾑﾗ,1
松前町,matsumae,13315,ﾏﾂﾏｴﾁｮｳ,1
福島町,fukushima,13323,ﾌｸｼﾏﾁｮｳ,1
知内町,shiriuchi,13331,ｼﾘｳﾁﾁｮｳ,1
木古内町,kikonaicho,13340,ｷｺﾅｲﾁｮｳ,1
七飯町,nanae,13374,ﾅﾅｴﾁｮｳ,1
鹿部町,shikabe,13439,ｼｶﾍﾞﾁｮｳ,1
森町,mori,13455,ﾓﾘﾏﾁ,1
八雲町,yakumo,13463,ﾔｸﾓﾁｮｳ,1
長万部町,oshamambe,13471,ｵｼｬﾏﾝﾍﾞﾁｮｳ,1
江差町,esashi_1,13617,ｴｻｼﾁｮｳ,1
上ノ国町,kaminokuni,13625,ｶﾐﾉｸﾆﾁｮｳ,1
厚沢部町,assabu,13633,ｱｯｻﾌﾞﾁｮｳ,1
乙部町,otobe,13641,ｵﾄﾍﾞﾁｮｳ,1
奥尻町,okushiri,13676,ｵｸｼﾘﾁｮｳ,1
今金町,imagane,13706,ｲﾏｶﾈﾁｮｳ,1
せたな町,senata,13714,ｾﾀﾅﾁｮｳ,1
島牧村,shimamaki,13919,ｼﾏﾏｷﾑﾗ,1
寿都町,suttu,13927,ｽｯﾂﾁｮｳ,1
黒松内町,kuromatsunai,13935,ｸﾛﾏﾂﾅｲﾁｮｳ,1
蘭越町,rankoshi,13943,ﾗﾝｺｼﾁｮｳ,1
ニセコ町,niseko,13951,ﾆｾｺﾁｮｳ,1
真狩村,makkari,13960,ﾏｯｶﾘﾑﾗ,1
留寿都村,rusutsu,13978,ﾙｽﾂﾑﾗ,1
喜茂別町,kimobetsu,13986,ｷﾓﾍﾞﾂﾁｮｳ,1
京極町,kyogoku,13994,ｷｮｳｺﾞｸﾁｮｳ,1
倶知安町,kutchan,14001,ｸｯﾁｬﾝﾁｮｳ,1
共和町,kyowa,14010,ｷｮｳﾜﾁｮｳ,1
岩内町,iwanai,14028,ｲﾜﾅｲﾁｮｳ,1
泊村,tomari,14036,ﾄﾏﾘﾑﾗ,1
神恵内村,kamoenai,14044,ｶﾓｴﾅｲﾑﾗ,1
積丹町,shakotan,14052,ｼｬｺﾀﾝﾁｮｳ,1
古平町,furubira,14061,ﾌﾙﾋﾞﾗﾁｮｳ,1
仁木町,niki,14079,ﾆｷﾁｮｳ,1
余市町,yoichi,14087,ﾖｲﾁﾁｮｳ,1
赤井川村,akaigawa,14095,ｱｶｲｶﾞﾜﾑﾗ,1
南幌町,nanporo,14231,ﾅﾝﾎﾟﾛﾁｮｳ,1
奈井江町,naie,14249,ﾅｲｴﾁｮｳ,1
上砂川町,kamisunagawa,14257,ｶﾐｽﾅｶﾞﾜﾁｮｳ,1
由仁町,yuni,14273,ﾕﾆﾁｮｳ,1
長沼町,naganuma,14281,ﾅｶﾞﾇﾏﾁｮｳ,1
栗山町,kuriyama,14290,ｸﾘﾔﾏﾁｮｳ,1
月形町,tsukigata,14303,ﾂｷｶﾞﾀﾁｮｳ,1
浦臼町,urausu,14311,ｳﾗｳｽﾁｮｳ,1
新十津川町,shintotsukawa,14320,ｼﾝﾄﾂｶﾜﾁｮｳ,1
妹背牛町,moseushi,14338,ﾓｾｳｼﾁｮｳ,1
秩父別町,chippubetsu,14346,ﾁｯﾌﾟﾍﾞﾂﾁｮｳ,1
雨竜町,uryu,14362,ｳﾘｭｳﾁｮｳ,1
北竜町,hokuryu,14371,ﾎｸﾘｭｳﾁｮｳ,1
沼田町,numata,14389,ﾇﾏﾀﾁｮｳ,1
鷹栖町,takasu,14524,ﾀｶｽﾁｮｳ,1
東神楽町,higashikagura,14532,ﾋｶﾞｼｶｸﾞﾗﾁｮｳ,1
当麻町,tohma,14541,ﾄｳﾏﾁｮｳ,1
比布町,pippu,14559,ﾋﾟｯﾌﾟﾁｮｳ,1
愛別町,aibetsu,14567,ｱｲﾍﾞﾂﾁｮｳ,1
上川町,kamikawa,14575,ｶﾐｶﾜﾁｮｳ,1
東川町,higashikawa,14583,ﾋｶﾞｼｶﾜﾁｮｳ,1
美瑛町,biei,14591,ﾋﾞｴｲﾁｮｳ,1
上富良野町,kamifurano,14605,ｶﾐﾌﾗﾉﾁｮｳ,1
中富良野町,nakafurano,14613,ﾅｶﾌﾗﾉﾁｮｳ,1
南富良野町,minamifurano,14621,ﾐﾅﾐﾌﾗﾉﾁｮｳ,1
占冠村,shimukappu,14630,ｼﾑｶｯﾌﾟﾑﾗ,1
和寒町,wassamu,14648,ﾜｯｻﾑﾁｮｳ,1
剣淵町,kenbunchi,14656,ｹﾝﾌﾞﾁﾁｮｳ,1
下川町,shimokawa,14681,ｼﾓｶﾜﾁｮｳ,1
美深町,bifuka,14699,ﾋﾞﾌｶﾁｮｳ,1
音威子府村,otoineppu,14702,ｵﾄｲﾈｯﾌﾟﾑﾗ,1
中川町,nakagawa,14711,ﾅｶｶﾞﾜﾁｮｳ,1
幌加内町,horokanai,14729,ﾎﾛｶﾅｲﾁｮｳ,1
増毛町,mashike,14818,ﾏｼｹﾁｮｳ,1
小平町,obira,14826,ｵﾋﾞﾗﾁｮｳ,1
苫前町,tomamae,14834,ﾄﾏﾏｴﾁｮｳ,1
羽幌町,haboro,14842,ﾊﾎﾞﾛﾁｮｳ,1
初山別村,shosanbetsu,14851,ｼｮｻﾝﾍﾞﾂﾑﾗ,1
遠別町,embetsu,14869,ｴﾝﾍﾞﾂﾁｮｳ,1
天塩町,teshio,14877,ﾃｼｵﾁｮｳ,1
猿払村,sarufutsu,15113,ｻﾙﾌﾂﾑﾗ,1
浜頓別町,hamatonbetsu,15121,ﾊﾏﾄﾝﾍﾞﾂﾁｮｳ,1
中頓別町,nakatombetsu,15130,ﾅｶﾄﾝﾍﾞﾂﾁｮｳ,1
枝幸町,esashi_2,15148,ｴｻｼﾁｮｳ,1
豊富町,toyotomi,15164,ﾄﾖﾄﾐﾁｮｳ,1
礼文町,rebun,15172,ﾚﾌﾞﾝﾁｮｳ,1
利尻町,rishiri,15181,ﾘｼﾘﾁｮｳ,1
利尻富士町,rishirifuji,15199,ﾘｼﾘﾌｼﾞﾁｮｳ,1
幌延町,horonobe,15202,ﾎﾛﾉﾍﾞﾁｮｳ,1
美幌町,bihoro,15431,ﾋﾞﾎﾛﾁｮｳ,1
津別町,tsubetsu,15440,ﾂﾍﾞﾂﾁｮｳ,1
斜里町,shari,15458,ｼｬﾘﾁｮｳ,1
清里町,kiyosato,15466,ｷﾖｻﾄﾁｮｳ,1
小清水町,koshimizu,15474,ｺｼﾐｽﾞﾁｮｳ,1
訓子府町,kunneppu,15491,ｸﾝﾈｯﾌﾟﾁｮｳ,1
置戸町,oketo,15504,ｵｹﾄﾁｮｳ,1
佐呂間町,saroma,15521,ｻﾛﾏﾁｮｳ,1
遠軽町,engaru,15555,ｴﾝｶﾞﾙﾁｮｳ,1
湧別町,yubetsu,15598,ﾕｳﾍﾞﾂﾁｮｳ,1
滝上町,takinoue,15601,ﾀｷﾉｳｴﾁｮｳ,1
興部町,okoppe,15610,ｵｺｯﾍﾟﾁｮｳ,1
西興部村,nishiokoppe,15628,ﾆｼｵｺｯﾍﾟﾑﾗ,1
雄武町,oumu,15636,ｵｳﾑﾁｮｳ,1
大空町,ozora,15644,ｵｵｿﾞﾗﾁｮｳ,1
豊浦町,toyoura,15717,ﾄﾖｳﾗﾁｮｳ,1
壮瞥町,sobetsu,15750,ｿｳﾍﾞﾂﾁｮｳ,1
白老町,shiraoi,15784,ｼﾗｵｲﾁｮｳ,1
厚真町,atsuma,15814,ｱﾂﾏﾁｮｳ,1
洞爺湖町,toyako,15849,ﾄｳﾔｺﾁｮｳ,1
安平町,abira,15857,ｱﾋﾞﾗﾁｮｳ,1
むかわ町,mukawa,15865,ﾑｶﾜﾁｮｳ,1
日高町,hidaka,16012,ﾋﾀﾞｶﾁｮｳ,1
平取町,biratori,16021,ﾋﾞﾗﾄﾘﾁｮｳ,1
新冠町,niikappu,16047,ﾆｲｶｯﾌﾟﾁｮｳ,1
浦河町,urakawa,16071,ｳﾗｶﾜﾁｮｳ,1
様似町,samani,16080,ｻﾏﾆﾁｮｳ,1
えりも町,erimo,16098,ｴﾘﾓﾁｮｳ,1
新ひだか町,shinhidaka,16101,ｼﾝﾋﾀﾞｶﾁｮｳ,1
音更町,otofuke,16314,ｵﾄﾌｹﾁｮｳ,1
士幌町,shihoro,16322,ｼﾎﾛﾁｮｳ,1
上士幌町,kamishihoro,16331,ｶﾐｼﾎﾛﾁｮｳ,1
鹿追町,shikaoi,16349,ｼｶｵｲﾁｮｳ,1
新得町,shintoku,16357,ｼﾝﾄｸﾁｮｳ,1
清水町,shimizu,16365,ｼﾐｽﾞﾁｮｳ,1
芽室町,memuro,16373,ﾒﾑﾛﾁｮｳ,1
中札内村,nakasatsunai,16381,ﾅｶｻﾂﾅｲﾑﾗ,1
更別村,sarabetsu,16390,ｻﾗﾍﾞﾂﾑﾗ,1
大樹町,taiki,16411,ﾀｲｷﾁｮｳ,1
広尾町,hiroo,16420,ﾋﾛｵﾁｮｳ,1
幕別町,makubetsu,16438,ﾏｸﾍﾞﾂﾁｮｳ,1
池田町,ikeda,16446,ｲｹﾀﾞﾁｮｳ,1
豊頃町,toyokoro,16454,ﾄﾖｺﾛﾁｮｳ,1
本別町,honbetsu,16462,ﾎﾝﾍﾞﾂﾁｮｳ,1
足寄町,ashoro,16471,ｱｼｮﾛﾁｮｳ,1
陸別町,rikubetsu,16489,ﾘｸﾍﾞﾂﾁｮｳ,1
浦幌町,urahoro,16497,ｳﾗﾎﾛﾁｮｳ,1
釧路町,kushiro_2,16616,ｸｼﾛﾁｮｳ,1
厚岸町,akkeshi,16624,ｱｯｹｼﾁｮｳ,1
浜中町,hamanaka,16632,ﾊﾏﾅｶﾁｮｳ,1
標茶町,shibecha,16641,ｼﾍﾞﾁｬﾁｮｳ,1
弟子屈町,teshikaga,16659,ﾃｼｶｶﾞﾁｮｳ,1
鶴居村,tsurui,16675,ﾂﾙｲﾑﾗ,1
白糠町,shiranuka,16683,ｼﾗﾇｶﾁｮｳ,1
別海町,betsukai,16918,ﾍﾞﾂｶｲﾁｮｳ,1
中標津町,nakashibetsu,16926,ﾅｶｼﾍﾞﾂﾁｮｳ,1
標津町,shibetsu,16934,ｼﾍﾞﾂﾁｮｳ,1
羅臼町,rausu,16942,ﾗｳｽﾁｮｳ,1
青森市,aomotri,22012,ｱｵﾓﾘｼ,2
弘前市,hirosaki,22021,ﾋﾛｻｷｼ,2
八戸市,hachinohe,22039,ﾊﾁﾉﾍｼ,2
黒石市,kuroishi,22047,ｸﾛｲｼｼ,2
五所川原市,goshogawara,22055,ｺﾞｼｮｶﾞﾜﾗｼ,2
十和田市,towada,22063,ﾄﾜﾀﾞｼ,2
三沢市,misawa,22071,ﾐｻﾜｼ,2
むつ市,mutsu,22080,ﾑﾂｼ,2
つがる市,tsugaru,22098,ﾂｶﾞﾙｼ,2
平川市,hirakawa,22101,ﾋﾗｶﾜｼ,2
平内町,hiranai,23019,ﾋﾗﾅｲﾏﾁ,2
今別町,imabetsu,23035,ｲﾏﾍﾞﾂﾏﾁ,2
蓬田村,yomogita,23043,ﾖﾓｷﾞﾀﾑﾗ,2
外ヶ浜町,sotogahama,23078,ｿﾄｶﾞﾊﾏﾏﾁ,2
鰺ヶ沢町,ajigasawa,23213,ｱｼﾞｶﾞｻﾜﾏﾁ,2
深浦町,fukaura,23230,ﾌｶｳﾗﾏﾁ,2
西目屋村,nishimeya,23434,ﾆｼﾒﾔﾑﾗ,2
藤崎町,fujisaki,23612,ﾌｼﾞｻｷﾏﾁ,2
大鰐町,owani,23621,ｵｵﾜﾆﾏﾁ,2
田舎館村,inakadate,23671,ｲﾅｶﾀﾞﾃﾑﾗ,2
板柳町,itayanagi,23817,ｲﾀﾔﾅｷﾞﾏﾁ,2
