name,post_code,address1,address2,tel,jsog_code,senkoishido,fujinkashuyo,shusanki,ivf,hai_ranshi_toketsu,kenbijusei,social_ranshitoketsu,teikyoseishi_aih,city_id,,,,,,,
勤医協札幌病院,38510,菊水4条1-9-22,,011-811-2246,10002,1,0,0,0,0,0,0,0,5,,,,,,,
北海道がんセンター,30804,菊水4条2-3-54,,011-811-9111,10003,1,1,0,0,0,0,0,0,5,,,,,,,
青葉産婦人科クリニック,40021,青葉町6-1-9,,011-893-3207,10004,0,0,0,1,1,1,0,0,9,,,,,,,
手稲渓仁会病院,60811,前田１条12-1-40,,011-681-8111,10008,1,1,1,1,1,1,0,0,10,,,,,,,
市立函館病院,418680,港町1-10-1,,0138-43-2000,10009,0,1,0,0,0,0,0,0,12,,,,,,,
函館中央病院,408585,本町33-2,,0138-52-1231,10010,1,1,1,0,0,0,0,0,12,,,,,,,
函館五稜郭病院,408611,五稜郭町38-3,,0138-51-2295,10011,1,1,1,0,0,0,0,0,12,,,,,,,
秋山記念病院,418502,石川町41-9,,0138-46-6660,10013,0,0,0,1,1,1,0,0,12,,,,,,,
小樽市立病院,478550,若松1-1-1,,0134-25-1211,10014,0,1,0,0,0,0,0,0,13,,,,,,,
八雲総合病院,493197,東雲町50,,0137-63-2185,10015,0,0,1,0,0,0,0,0,55,,,,,,,
日鋼記念病院,518501,新富町1-5-13,,0143-24-1331,10016,1,0,0,0,0,0,0,0,15,,,,,,,
苫小牧市立病院,538567,清水町1-5-20,,0144-33-3131,10017,1,1,0,0,0,0,0,0,23,,,,,,,
岩城産婦人科,530032,緑町1-21-1,,0144-38-3800,10018,0,0,0,1,1,1,0,0,23,,,,,,,
国家公務員共済組合連合会　斗南病院,600004,北4条西7-3-8,,011-231-2121,10019,0,0,0,1,1,1,7,0,2,,,,,,,
神谷レディースクリニック,600003,北3条西2-2-1,日通札幌ビル 2F,011-231-2722,10020,0,0,0,1,1,1,7,0,2,,,,,,,
市立札幌病院,608604,北11条西13-1-1,,011-726-2211,10021,1,1,1,0,0,0,0,0,2,,,,,,,
JR札幌病院,600033,北3条東1,,011-208-7150,10022,0,1,0,0,0,0,0,0,2,,,,,,,
札幌厚生病院,600033,北3条東8-5,,011-261-5331,10023,0,1,1,1,1,1,7,0,2,,,,,,,
NTT東日本札幌病院,600061,南1条西15,,011-623-7000,10024,1,1,1,0,0,0,0,0,2,,,,,,,
札幌医科大学,608556,南1条西17,,011-611-2111,10025,1,1,1,1,1,1,7,0,2,,,,,,,
北海道大学,600808,5,,011-716-2111,10027,1,1,1,1,1,1,0,0,3,,,,,,,
KKR札幌医療センター,620931,平岸1条6-3-40,,011-822-1811,10028,1,1,0,1,1,1,0,0,6,,,,,,,
美加レディースクリニック,620933,平岸3条13-5-21,南平岸ビル 1～3階,011-833-7773,10029,0,0,0,1,1,1,0,0,6,,,,,,,
北海道病院,628618,中の島一条8-3-18,,011-831-5151,10030,1,0,1,0,0,0,0,0,6,,,,,,,
札幌東豊病院,650017,北17条東15-3-1,,011-704-3911,10033,0,0,0,1,1,1,0,0,4,,,,,,,
