name,g_map,post_code,address1,address2,tel,jsog_code,senkoishido,fujinkashuyo,shusanki,ivf,hai_ranshi_toketsu,kenbijusei,social_ranshitoketsu,teikyoseishi_aih,pgt,jis_art,japco,yomigana,current_status,prefecture_id,city_id
勤医協札幌病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2915.143738132581!2d141.3708669154786!3d43.059444379146086!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b297c4d597895%3A0xfd99be2e97af5aae!2z5Yuk5Yy75Y2U5pyt5bmM55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606356678014!5m2!1sja!2sjp,38510,菊水4条1-9-22,,011-811-2246,10002,1,0,0,0,0,0,0,0,0,0,0,キンイキョウサッポロビョウイン,0,1,4
北海道がんセンター,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2915.1910906721487!2d141.37285221507176!3d43.05844839870325!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b297d9229aac3%3A0x5db8acd6762c5e23!2z5Zu956uL55eF6Zmi5qmf5qeLIOWMl-a1t-mBk-OBjOOCk-OCu-ODs-OCv-ODvA!5e0!3m2!1sja!2sjp!4v1606356829391!5m2!1sja!2sjp,30804,菊水4条2-3-54,,011-811-9111,10003,1,1,0,0,0,0,0,0,0,0,0,ホッカイドウガンセンター,0,1,4
青葉産婦人科クリニック,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2916.5052018137544!2d141.47495331507088!3d43.030800900471405!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b2b5ed220ea2f%3A0xe0b76e7b0c2277c1!2z6Z2S6JGJ55Sj5amm5Lq656eR44Kv44Oq44OL44OD44Kv!5e0!3m2!1sja!2sjp!4v1606356846942!5m2!1sja!2sjp,40021,青葉町6-1-9,,011-893-3207,10004,0,0,0,1,1,1,0,0,0,0,0,アオバサンフジンカクリニック,0,1,8
手稲渓仁会病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2912.1192377410493!2d141.24136441507403!3d43.123021294569924!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0b27af083b51ff%3A0x5d11d213c49fa3c4!2z5Yy755mC5rOV5Lq65riT5LuB5LyaIOaJi-eosua4k-S7geS8mueXhemZog!5e0!3m2!1sja!2sjp!4v1606356879495!5m2!1sja!2sjp,60811,前田１条12-1-40,,011-681-8111,10008,1,1,1,1,1,1,0,0,0,0,0,テイネケイジンカイビョウイン,0,1,9
市立函館病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2974.0553066530433!2d140.72803131503014!3d41.80556897792975!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f9ef41ca9bb755f%3A0x82a8644d627c66cf!2z5biC56uL5Ye96aSo55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606356900298!5m2!1sja!2sjp,418680,港町1-10-1,,0138-43-2000,10009,0,1,0,0,0,0,0,0,0,0,0,シリツハコダテビョウイン,0,1,11
函館中央病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2974.9247351291883!2d140.74965191502943!3d41.78683567910033!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f9ef47a2fe13009%3A0x16ebf3a3f749fc4c!2z5Ye96aSo5Lit5aSu55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606356918839!5m2!1sja!2sjp,408585,本町33-2,,0138-52-1231,10010,1,1,1,0,0,0,0,0,0,0,0,ハコダテチュウオウビョウイン,0,1,11
函館五稜郭病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2974.664668107534!2d140.75333221502962!3d41.7924399787501!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f9ef46faa7b2b81%3A0x473155289a132c09!2z5Ye96aSo5LqU56ic6YOt55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606356938969!5m2!1sja!2sjp,408611,五稜郭町38-3,,0138-51-2295,10011,1,1,1,0,0,0,0,0,0,0,0,ハコダテゴリョウカクビョウイン,0,1,11
秋山記念病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2973.017422359442!2d140.73815531503075!3d41.82792297653254!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f9ef68931f4d765%3A0x1ecd3596df4ad179!2z56eL5bGx6KiY5b-155eF6Zmi!5e0!3m2!1sja!2sjp!4v1606356960253!5m2!1sja!2sjp,418502,石川町41-9,,0138-46-6660,10013,0,0,0,1,1,1,0,0,0,0,0,アキヤマキネンビョウイン,0,1,11
小樽市立病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2909.1386994983386!2d141.0053186150762!3d43.18560049055955!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f0ae1bd320985d7%3A0xc9e70c0b8b19bbb3!2z5bCP5qi95biC56uL55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606356977177!5m2!1sja!2sjp,478550,若松1-1-1,,0134-25-1211,10014,0,1,0,0,0,0,0,0,0,0,0,オタルシリツビョウイン,0,1,12
八雲総合病院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2953.214402207475!2d140.27713791504482!3d42.25259374987473!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5f9f993312e5b193%3A0x64f83525c8b9c086!2z5YWr6Zuy57eP5ZCI55eF6Zmi!5e0!3m2!1sja!2sjp!4v1606356994632!5m2!1sja!2sjp,493197,東雲町50,,0137-63-2185,10015,0,0,1,0,0,0,0,0,0,0,0,ヤクモソウゴウビョウイン,0,1,54
